ID: 298, Type: Person, Duration: 0.20 seconds, First seen: 1733275047.6359875, Last seen: 1733275047.8357635
ID: 652, Type: Person, Duration: 0.20 seconds, First seen: 1733275047.6359875, Last seen: 1733275047.8357635
ID: 414, Type: Person, Duration: 0.20 seconds, First seen: 1733275047.6359875, Last seen: 1733275047.8357635
ID: 348, Type: Person, Duration: 0.20 seconds, First seen: 1733275047.6359875, Last seen: 1733275047.8357635
ID: 366, Type: Person, Duration: 0.16 seconds, First seen: 1733275047.8357635, Last seen: 1733275047.9958806
ID: 413, Type: Person, Duration: 0.17 seconds, First seen: 1733275047.8357635, Last seen: 1733275048.0018651
ID: 644, Type: Person, Duration: 0.17 seconds, First seen: 1733275047.8357635, Last seen: 1733275048.0018651
ID: 358, Type: Person, Duration: 0.38 seconds, First seen: 1733275047.8357635, Last seen: 1733275048.2206497
ID: 642, Type: Person, Duration: 0.22 seconds, First seen: 1733275047.9958806, Last seen: 1733275048.2206497
ID: 414, Type: Person, Duration: 0.22 seconds, First seen: 1733275047.9958806, Last seen: 1733275048.2206497
ID: 357, Type: Person, Duration: 0.22 seconds, First seen: 1733275047.9958806, Last seen: 1733275048.2206497
ID: 296, Type: Person, Duration: 0.61 seconds, First seen: 1733275047.8357635, Last seen: 1733275048.4490492
ID: 228, Type: Person, Duration: 0.45 seconds, First seen: 1733275047.9958806, Last seen: 1733275048.4500678
ID: 360, Type: Person, Duration: 0.23 seconds, First seen: 1733275048.2206497, Last seen: 1733275048.4500678
ID: 647, Type: Person, Duration: 0.23 seconds, First seen: 1733275048.2206497, Last seen: 1733275048.4500678
ID: 413, Type: Person, Duration: 0.23 seconds, First seen: 1733275048.2206497, Last seen: 1733275048.4500678
ID: 345, Type: Person, Duration: 0.44 seconds, First seen: 1733275048.2206497, Last seen: 1733275048.6603382
ID: 368, Type: Person, Duration: 0.21 seconds, First seen: 1733275048.4490492, Last seen: 1733275048.6603382
ID: 297, Type: Person, Duration: 0.21 seconds, First seen: 1733275048.4490492, Last seen: 1733275048.6603382
ID: 414, Type: Person, Duration: 0.21 seconds, First seen: 1733275048.4490492, Last seen: 1733275048.6603382
ID: 363, Type: Person, Duration: 0.21 seconds, First seen: 1733275048.4490492, Last seen: 1733275048.6603382
ID: 650, Type: Person, Duration: 0.40 seconds, First seen: 1733275048.4490492, Last seen: 1733275048.8522408
ID: 372, Type: Person, Duration: 0.19 seconds, First seen: 1733275048.6603382, Last seen: 1733275048.8522408
ID: 298, Type: Person, Duration: 0.19 seconds, First seen: 1733275048.6603382, Last seen: 1733275048.8522408
ID: 344, Type: Person, Duration: 0.19 seconds, First seen: 1733275048.6603382, Last seen: 1733275048.8522408
ID: 365, Type: Person, Duration: 0.39 seconds, First seen: 1733275048.6603382, Last seen: 1733275049.0516346
ID: 648, Type: Person, Duration: 0.20 seconds, First seen: 1733275048.8522408, Last seen: 1733275049.0516346
ID: 300, Type: Person, Duration: 0.20 seconds, First seen: 1733275048.8522408, Last seen: 1733275049.0516346
ID: 356, Type: Person, Duration: 0.20 seconds, First seen: 1733275048.8522408, Last seen: 1733275049.0516346
ID: 228, Type: Person, Duration: 0.20 seconds, First seen: 1733275048.8522408, Last seen: 1733275049.0516346
ID: 298, Type: Person, Duration: 0.16 seconds, First seen: 1733275049.0516346, Last seen: 1733275049.213364
ID: 342, Type: Person, Duration: 0.16 seconds, First seen: 1733275049.0516346, Last seen: 1733275049.213364
ID: 227, Type: Person, Duration: 0.16 seconds, First seen: 1733275049.0516346, Last seen: 1733275049.213364
ID: 346, Type: Person, Duration: 0.37 seconds, First seen: 1733275049.0516346, Last seen: 1733275049.4261963
ID: 349, Type: Person, Duration: 0.21 seconds, First seen: 1733275049.2121463, Last seen: 1733275049.4261963
ID: 299, Type: Person, Duration: 0.21 seconds, First seen: 1733275049.2121463, Last seen: 1733275049.4261963
ID: 366, Type: Person, Duration: 0.22 seconds, First seen: 1733275049.2121463, Last seen: 1733275049.4274623
ID: 343, Type: Person, Duration: 0.22 seconds, First seen: 1733275049.2121463, Last seen: 1733275049.4274623
ID: 228, Type: Person, Duration: 0.21 seconds, First seen: 1733275049.213364, Last seen: 1733275049.4274623
ID: 649, Type: Person, Duration: 0.58 seconds, First seen: 1733275049.0516346, Last seen: 1733275049.6349766
ID: 344, Type: Person, Duration: 0.22 seconds, First seen: 1733275049.4261963, Last seen: 1733275049.642827
ID: 342, Type: Person, Duration: 0.22 seconds, First seen: 1733275049.4261963, Last seen: 1733275049.642827
ID: 298, Type: Person, Duration: 0.22 seconds, First seen: 1733275049.4261963, Last seen: 1733275049.642827
ID: 359, Type: Person, Duration: 0.22 seconds, First seen: 1733275049.4261963, Last seen: 1733275049.642827
ID: 347, Type: Person, Duration: 0.18 seconds, First seen: 1733275049.6349766, Last seen: 1733275049.8184185
ID: 651, Type: Person, Duration: 0.18 seconds, First seen: 1733275049.6349766, Last seen: 1733275049.8184185
ID: 297, Type: Person, Duration: 0.18 seconds, First seen: 1733275049.6349766, Last seen: 1733275049.8184185
ID: 227, Type: Person, Duration: 0.18 seconds, First seen: 1733275049.6349766, Last seen: 1733275049.8184185
ID: 514, Type: Person, Duration: 0.18 seconds, First seen: 1733275049.6349766, Last seen: 1733275049.8184185
ID: 413, Type: Person, Duration: 1.34 seconds, First seen: 1733275048.6603382, Last seen: 1733275050.0008738
ID: 362, Type: Person, Duration: 0.37 seconds, First seen: 1733275049.6349766, Last seen: 1733275050.0008738
